标题,播放树,链接
后来你哭了，想安慰却忘了早已换了身份,539万,http://music.163.com/playlist?id=2218171336
还记得你的梦想吗？别让你的梦只有想,526万,http://music.163.com/playlist?id=2219770152
毕业倒计时：时光里的伤心旅客,837万,http://music.163.com/playlist?id=2219538180
你的青春里有没有属于你的一首歌？,1423万,http://music.163.com/playlist?id=2201879658
我最大的遗憾，是你的遗憾与我有关,840万,http://music.163.com/playlist?id=2201957752
致回不去的校园，致那美好的曾经,547万,http://music.163.com/playlist?id=2182683172
100个悲伤的瞬间，有没有你的心酸？,780万,http://music.163.com/playlist?id=2179646633
◢◤Avicii丨当一切都结束的时候再叫醒我,789万,http://music.163.com/playlist?id=2193725733
节奏带感且时尚性感<100首Fashion BGM>,811万,http://music.163.com/playlist?id=2173059435
于时间的长廊上 你再也不等我,965万,http://music.163.com/playlist?id=2168895862
熬夜和想你，我都该戒掉了,1275万,http://music.163.com/playlist?id=2163517726
"""多少人以朋友的名义爱着一个人? """,701万,http://music.163.com/playlist?id=2162749304
不怕汉子有文化，只怕他们有吉他,506万,http://music.163.com/playlist?id=2180739925
「毕业将至」我最想和你做的六十一件事。,544万,http://music.163.com/playlist?id=2178572409
「怦然心动」喜欢你头发的淡淡西瓜味,711万,http://music.163.com/playlist?id=2182092714
华语 | 我没有很想你，只是经常梦见你,521万,http://music.163.com/playlist?id=2172208421
细数那些值得单曲循环的民谣,710万,http://music.163.com/playlist?id=2150055953
歌词唱透了心声，回忆模糊了眼眸,1157万,http://music.163.com/playlist?id=2139324915
岁月如潮水，将我向老歌推,1250万,http://music.163.com/playlist?id=2139305008
节奏带感且深邃性感 ️️这才系Deep House呀,883万,http://music.163.com/playlist?id=2139118830
你不知道我多羡慕你特立独行的样子,509万,http://music.163.com/playlist?id=2154763064
我爱你 第一句是假的 第二句也是假的,1279万,http://music.163.com/playlist?id=2144281377
求求你们了，让我睡会儿好不好,717万,http://music.163.com/playlist?id=2131958935
台湾偶像剧黄金年代|记忆是阵阵花香,641万,http://music.163.com/playlist?id=2134421380
生活，太需要这些节奏了,687万,http://music.163.com/playlist?id=2133712293
下次理发我要让我的Tony播放这个歌单,1354万,http://music.163.com/playlist?id=2120785460
以丧止丧 听一首把自己感动到哭的丧的歌,736万,http://music.163.com/playlist?id=2141039987
「不老女声」你 是 窗 前 深 浅 白 月 光,755万,http://music.163.com/playlist?id=2121679666
暖春，寄一首阳光明媚的歌给你,583万,http://music.163.com/playlist?id=2114030515
哼首欢快的歌 来拯救你的小确丧,710万,http://music.163.com/playlist?id=2144082923
致暗恋：陪伴是最怂的告白,619万,http://music.163.com/playlist?id=2127074784
再听这些歌时你已热泪盈眶，你曾是少年,587万,http://music.163.com/playlist?id=2128858806
华研国际热门音乐精选50首,1044万,http://music.163.com/playlist?id=2120700410
当你穿山越岭，我把我唱给你听,629万,http://music.163.com/playlist?id=2131695543
仙人抚我顶，结发受长生。,707万,http://music.163.com/playlist?id=2132009349
『無前奏 | 女嗓』开口即跪 心醉神迷.,1297万,http://music.163.com/playlist?id=2089907261
赶走阴霾 来一首欢快的欧美小调,813万,http://music.163.com/playlist?id=2084738832
古风精选 你眼中是江湖 我眼中是你,598万,http://music.163.com/playlist?id=2074681032
听说把糖放在枕头底下会做一个甜甜的梦,640万,http://music.163.com/playlist?id=2091484707
痛彻心扉地哭，然后刻骨铭心地记住,948万,http://music.163.com/playlist?id=2059430694
只是想安静的 享受那份呼吸的感觉。o・°。,648万,http://music.163.com/playlist?id=2058497430
百首日系抒情，总有一首触动你的心,543万,http://music.163.com/playlist?id=2048970456
2018全年抖腿指南，老铁你怕了吗？,1093万,http://music.163.com/playlist?id=2050704516
华语 | 听歌最怕应景，触景最怕生情,1478万,http://music.163.com/playlist?id=2042006896
『曲作精选』细数古风圈原创作曲人❶,670万,http://music.163.com/playlist?id=2041615881
【节奏控】好听又带感的英文歌(2017总结篇),2424万,http://music.163.com/playlist?id=2036883936
粤语女声 I 故事太多 没人会听你诉说,663万,http://music.163.com/playlist?id=2047424322
再深的感情也抵挡不住缘分的交错,699万,http://music.163.com/playlist?id=2036154174
2017年度最受欢迎个性推荐歌曲,4745万,http://music.163.com/playlist?id=2039098272
2017年度最热新歌TOP100,4786万,http://music.163.com/playlist?id=2039073542
粤语男声 I 我已见过银河 但我只爱一颗星,572万,http://music.163.com/playlist?id=2023551932
『致前任』我曾经很喜欢你 但也只能到这里,888万,http://music.163.com/playlist?id=2049424729
妈妈，他的糖里有毒,1163万,http://music.163.com/playlist?id=2052760419
你说你很累，可谁又活得顺风顺水,783万,http://music.163.com/playlist?id=2055724092
【 2017 YouTube收听量最高的欧美歌曲 】,1686万,http://music.163.com/playlist?id=1991596470
愿还会有人，做个傻子陪你浪费一生,548万,http://music.163.com/playlist?id=2042205655
人这一辈子，最怕突然听懂了一首歌。,1224万,http://music.163.com/playlist?id=2020864493
适合努力学习英语时听的歌曲,1107万,http://music.163.com/playlist?id=2015397679
华语||我不怕等待，我怕你不来,514万,http://music.163.com/playlist?id=2031595851
无前奏丨女声丨欧美丨三秒爱上,682万,http://music.163.com/playlist?id=2008935342
2018年四月最热新歌TOP50,660万,http://music.163.com/playlist?id=2208764332
你18岁时喜欢的人，现在怎么样了？,593万,http://music.163.com/playlist?id=2063351734
